"","Tickers","Names"
"1","EURUSD","(EUR USD)"
"2","GBPUSD","(GBP USD)"
"3","AUDUSD","(AUD USD)"
"4","USDJPY","(USD JPY)"
"5","USDCAD","(USD CAD)"
"6","USDCHF","(USD CHF)"
"7","EURCHF","(EUR CHF)"
"8","EURGBP","(EUR GBP)"
"9","EURJPY","(EUR JPY)"
"10","GBPJPY","(GBP JPY)"
